Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_hours,Duration_mins,Price_actual,Price_pred
IndiGo,Banglore,New Delhi,0,3897,24,3,22,20,1,10,2,50,3897,5720.545
IndiGo,Kolkata,Banglore,1,6218,12,5,18,5,23,30,5,25,6218,6108.261
Jet Airways,Banglore,New Delhi,1,11087,12,3,8,55,10,25,25,30,11087,10837.557
Air India,Delhi,Cochin,1,8907,1,6,9,45,23,0,13,15,8907,10189.813
IndiGo,Kolkata,Banglore,0,4804,24,4,17,15,19,50,2,35,4804,4922.7095
Jet Airways,Delhi,Cochin,1,12898,27,5,16,0,12,35,20,35,12898,12824.083
IndiGo,Banglore,Delhi,0,4823,1,5,18,55,21,50,2,55,4823,4970.089
Vistara,Chennai,Kolkata,0,3687,15,6,7,5,9,20,2,15,3687,3718.6597
Air India,Kolkata,Banglore,2,13227,1,5,9,50,23,15,13,25,13227,13748.265
Jet Airways,Delhi,Cochin,2,10919,15,6,14,35,12,35,22,0,10919,12708.854
IndiGo,Delhi,Cochin,1,5894,27,6,10,35,21,0,10,25,5894,5805.4536
SpiceJet,Kolkata,Banglore,1,4649,21,5,15,5,20,20,5,15,4649,4930.4087
Jet Airways,Delhi,Cochin,1,14924,3,6,7,5,19,0,11,55,14924,13237.304
Air India,Chennai,Kolkata,0,4667,3,5,11,40,13,55,2,15,4667,5211.6025
Jet Airways,Delhi,Cochin,0,7202,9,3,11,0,14,15,3,15,7202,8825.5205
IndiGo,Delhi,Cochin,1,7191,15,5,15,0,1,30,10,30,7191,7677.8457
GoAir,Banglore,Delhi,0,3898,3,4,11,40,14,30,2,50,3898,4345.0454
Jet Airways,Kolkata,Banglore,1,10844,9,6,21,10,12,0,14,50,10844,12986.39
Jet Airways,Kolkata,Banglore,1,7064,1,4,8,25,20,45,12,20,7064,10931.843
Jet Airways,Banglore,New Delhi,1,13817,12,3,16,55,10,25,17,30,13817,12538.429
Air India,Delhi,Cochin,2,13748,6,3,5,55,19,15,13,20,13748,12897.052
IndiGo,Chennai,Kolkata,0,3540,21,6,5,15,7,40,2,25,3540,3670.6748
SpiceJet,Banglore,Delhi,0,3257,15,5,5,55,8,35,2,40,3257,3701.2825
Jet Airways,Kolkata,Banglore,1,14939,9,6,20,0,8,15,12,15,14939,12888.899
Air India,Kolkata,Banglore,1,6528,12,5,14,35,14,35,24,0,6528,6595.0015
Multiple carriers,Delhi,Cochin,1,11421,27,3,11,40,18,50,7,10,11421,10986.494
Multiple carriers,Delhi,Cochin,1,7574,27,3,4,45,19,15,14,30,7574,6943.844
Air India,Delhi,Cochin,2,11596,9,5,12,55,19,15,30,20,11596,12873.614
Jet Airways,Delhi,Cochin,1,15554,9,5,7,5,19,0,11,55,15554,14277.891
Jet Airways,Delhi,Cochin,1,10262,15,6,11,30,4,25,16,55,10262,10520.381
Jet Airways,Delhi,Cochin,2,15129,18,5,19,10,19,0,23,50,15129,15851.958
Multiple carriers,Delhi,Cochin,1,9486,21,5,13,5,0,55,11,50,9486,10579.999
